gene,LRL01_S1,LRL02_S2,LRL03_S3,LRL04_S4,LRL05_S5,LRL06_S6,LRL07_S7,LRL08_S8,LRL09_S9,LRL10_S10,LRL11_S11,LRL12_S12
WBGene00021930,1731,1802,1520,1681,1692,1532,1064,810,699,1085,1274,1043
WBGene00021920,1231,1296,1045,936,909,920,693,590,479,613,626,530
WBGene00021931,24,24,24,34,19,43,7,8,17,23,42,41
WBGene00000816,2448,2215,2113,2354,2125,2319,538,565,477,469,488,461
WBGene00021934,4641,4041,3650,4173,3849,4048,876,646,655,922,939,866
WBGene00196098,0,0,0,0,0,2,0,0,0,0,1,0
WBGene00021933,1102,806,894,1242,1149,1079,1122,948,814,820,970,721
WBGene00021932,524,543,490,388,389,386,276,239,199,223,246,229
WBGene00044462,5,5,4,6,3,2,3,6,3,0,0,2
WBGene00016637,1,5,5,3,16,9,12,10,2,4,8,2
WBGene00003893,7226,6810,6684,8057,7928,7860,19637,16899,14040,19730,22624,20727
WBGene00005905,6,1,2,37,16,26,2,0,0,4,3,4
WBGene00005904,26,17,16,106,77,101,3,1,2,24,39,32
WBGene00202064,0,0,0,0,0,1,0,0,0,0,0,0
WBGene00016638,35292,24362,27446,35110,33576,30415,78249,66856,56692,31706,35018,32138
WBGene00016636,33190,23963,25653,28339,26569,25463,64742,51670,46250,23961,26330,23428
WBGene00016639,67,67,56,162,133,190,6,5,3,8,11,6
WBGene00199664,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00200465,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00023256,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00016797,217,265,216,237,185,267,889,973,825,580,596,497
WBGene00023257,0,0,0,0,2,0,0,0,0,0,0,0
WBGene00016798,2,2,3,6,2,3,0,0,0,0,1,0
WBGene00219437,0,0,0,0,0,1,2,1,1,0,1,1
WBGene00016796,1933,1476,1689,1860,1733,1891,108,87,98,115,105,115
WBGene00198147,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00198949,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00022426,1167,1370,1033,1289,1123,1238,399,315,287,295,323,323
WBGene00022428,393,372,337,296,297,310,68,71,59,74,103,84
WBGene00198533,1,0,0,0,0,0,0,0,0,0,0,0
WBGene00197287,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00007020,971,1175,893,832,803,878,341,364,341,260,274,226
WBGene00196875,0,0,0,0,0,0,1,0,0,0,0,0
WBGene00022427,1842,1950,1617,2196,2214,2026,4118,3907,3322,2128,2375,2127
WBGene00196976,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00202019,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00001104,523,794,608,730,637,623,0,0,0,1,1,1
WBGene00023163,2,7,7,5,4,6,0,0,0,0,0,0
WBGene00001103,78,101,129,68,77,77,0,1,1,3,6,6
WBGene00021123,285,275,244,278,252,232,430,343,310,333,373,360
WBGene00044463,28,34,33,19,22,19,9,8,6,30,41,27
WBGene00021122,0,0,0,0,0,0,1,0,0,6,8,6
WBGene00021121,203,230,245,118,77,78,185,189,182,154,182,158
WBGene00021120,1,3,0,1,0,0,0,3,1,0,0,2
WBGene00009521,1883,1893,1632,1870,1678,1690,1530,1310,1198,1073,1184,1227
WBGene00044908,7,8,3,5,5,5,15,5,6,5,4,10
WBGene00009522,37,43,25,60,58,48,183,210,162,136,131,133
WBGene00009523,75,48,54,83,91,66,340,288,304,211,236,237
WBGene00009524,1,2,0,5,2,4,8,11,8,6,5,8
WBGene00009518,85,88,75,90,80,80,466,449,405,353,287,319
WBGene00009519,3,4,2,2,2,1,15,8,6,7,8,5
WBGene00045003,0,0,0,0,0,0,0,0,0,1,0,0
WBGene00009517,12,7,7,17,19,12,11,14,6,25,28,14
WBGene00009520,5,18,12,1,3,1,23,29,19,8,18,12
WBGene00045037,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009526,58,44,35,49,48,38,56,84,54,29,32,24
WBGene00009525,1,0,0,0,0,0,0,0,0,0,0,0
WBGene00009515,65,63,63,83,73,82,98,85,62,209,233,173
WBGene00007476,1079,1432,991,1042,1009,1049,224,232,207,242,301,237
WBGene00022425,3502,2697,2919,3149,2791,3011,1361,1155,1146,1178,1030,1052
WBGene00018776,1899,2813,2135,2808,2566,2630,806,937,793,892,994,1015
WBGene00018778,2617,3181,2655,3262,3121,3144,410,283,317,387,434,422
WBGene00018777,714,639,631,645,642,616,348,296,241,261,288,261
WBGene00023291,5,1,7,7,2,1,0,1,0,6,7,2
WBGene00019054,0,0,1,1,0,0,0,1,0,0,0,1
WBGene00019053,0,0,0,0,0,0,0,0,0,2,0,0
WBGene00004338,1641,1801,1524,1508,1357,1347,77,54,49,77,78,72
WBGene00000678,81,132,81,28,24,35,46,53,41,567,794,437
WBGene00023304,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00166535,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000679,9,14,11,2,0,3,0,2,0,1,1,2
WBGene00200943,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00023305,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00199889,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00019052,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00219265,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00023397,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00022423,217,168,200,200,193,235,516,415,419,517,577,510
WBGene00023202,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00198926,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00022314,62,60,53,36,24,34,48,54,50,60,84,82
WBGene00023392,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00022309,408,485,379,364,340,352,85,80,64,91,100,74
WBGene00022310,2685,2447,2197,2454,2252,2347,245,238,257,181,173,175
WBGene00199927,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00002180,1241,1318,1152,1094,1018,1039,470,428,348,337,355,312
WBGene00022311,1,4,4,3,1,2,0,0,0,0,0,0
WBGene00022312,6,7,4,5,3,5,0,1,1,0,0,0
WBGene00235266,0,4,3,3,4,4,0,0,0,0,0,0
WBGene00235267,87,67,105,69,98,76,1,1,1,0,1,1
WBGene00000546,25,48,37,84,87,83,3,3,4,6,12,4
WBGene00000547,1872,2495,1934,2404,2577,2397,1767,1537,1376,1540,1758,1678
WBGene00022308,0,3,0,5,3,4,5,3,0,3,3,6
WBGene00022307,1027,884,884,1139,1133,1039,3277,2863,2341,2229,2607,2237
WBGene00000680,16928,18284,13866,25390,25651,22125,77698,67266,46913,55188,65661,55435
WBGene00022313,88,73,62,145,139,147,239,207,237,221,233,229
WBGene00023393,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00220213,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00023394,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00044464,11,26,20,3,2,5,4,2,1,8,9,8
WBGene00199030,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00003806,2080,2303,2011,2261,2071,2158,869,828,743,829,950,848
WBGene00022306,2091,2152,1895,1813,1812,1768,2099,1960,1773,1344,1393,1392
WBGene00198503,0,1,1,0,0,0,0,0,0,1,0,2
